channel,link_type,utm_source,utm_medium,utm_campaign,utm_content,alias,short_url,destination_url,status
X,replay,x,social,bonly25_replays,abdel_starks_bitcoin,b25-abdel-x,https://go.alpinechain.xyz/b25-abdel-x,https://video.alpinechain.xyz/videos/watch/86681bf6-a7df-4db1-8451-087ce12370ac?utm_source=x&utm_medium=social&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05
X,billetterie,x,social,bonly25_replays,abdel_starks_bitcoin,b25-abdel-x-billet,https://go.alpinechain.xyz/b25-abdel-x-billet,https://join.alpinechain.xyz/org/bonly26/?utm_source=x&utm_medium=social&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05
LinkedIn Annecy Bitcoin Meetup,replay,linkedin_abm,social,bonly25_replays,abdel_starks_bitcoin,b25-abdel-li-abm,https://go.alpinechain.xyz/b25-abdel-li-abm,https://video.alpinechain.xyz/videos/watch/86681bf6-a7df-4db1-8451-087ce12370ac?utm_source=linkedin_abm&utm_medium=social&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05
LinkedIn Annecy Bitcoin Meetup,billetterie,linkedin_abm,social,bonly25_replays,abdel_starks_bitcoin,b25-abdel-li-abm-billet,https://go.alpinechain.xyz/b25-abdel-li-abm-billet,https://join.alpinechain.xyz/org/bonly26/?utm_source=linkedin_abm&utm_medium=social&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05
LinkedIn AlpineChain,replay,linkedin_alpinechain,social,bonly25_replays,abdel_starks_bitcoin,b25-abdel-li-ac,https://go.alpinechain.xyz/b25-abdel-li-ac,https://video.alpinechain.xyz/videos/watch/86681bf6-a7df-4db1-8451-087ce12370ac?utm_source=linkedin_alpinechain&utm_medium=social&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05
LinkedIn AlpineChain,billetterie,linkedin_alpinechain,social,bonly25_replays,abdel_starks_bitcoin,b25-abdel-li-ac-billet,https://go.alpinechain.xyz/b25-abdel-li-ac-billet,https://join.alpinechain.xyz/org/bonly26/?utm_source=linkedin_alpinechain&utm_medium=social&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05
Facebook,replay,facebook,social,bonly25_replays,abdel_starks_bitcoin,b25-abdel-fb,https://go.alpinechain.xyz/b25-abdel-fb,https://video.alpinechain.xyz/videos/watch/86681bf6-a7df-4db1-8451-087ce12370ac?utm_source=facebook&utm_medium=social&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05
Facebook,billetterie,facebook,social,bonly25_replays,abdel_starks_bitcoin,b25-abdel-fb-billet,https://go.alpinechain.xyz/b25-abdel-fb-billet,https://join.alpinechain.xyz/org/bonly26/?utm_source=facebook&utm_medium=social&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05
Instagram,replay,instagram,social,bonly25_replays,abdel_starks_bitcoin,b25-abdel-ig,https://go.alpinechain.xyz/b25-abdel-ig,https://video.alpinechain.xyz/videos/watch/86681bf6-a7df-4db1-8451-087ce12370ac?utm_source=instagram&utm_medium=social&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05
Instagram,billetterie,instagram,social,bonly25_replays,abdel_starks_bitcoin,b25-abdel-ig-billet,https://go.alpinechain.xyz/b25-abdel-ig-billet,https://join.alpinechain.xyz/org/bonly26/?utm_source=instagram&utm_medium=social&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05
Nostr,replay,nostr,social,bonly25_replays,abdel_starks_bitcoin,b25-abdel-nostr,https://go.alpinechain.xyz/b25-abdel-nostr,https://video.alpinechain.xyz/videos/watch/86681bf6-a7df-4db1-8451-087ce12370ac?utm_source=nostr&utm_medium=social&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05
Nostr,billetterie,nostr,social,bonly25_replays,abdel_starks_bitcoin,b25-abdel-nostr-billet,https://go.alpinechain.xyz/b25-abdel-nostr-billet,https://join.alpinechain.xyz/org/bonly26/?utm_source=nostr&utm_medium=social&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05
Blog,replay,blog,article,bonly25_replays,abdel_starks_bitcoin,b25-abdel-blog,https://go.alpinechain.xyz/b25-abdel-blog,https://video.alpinechain.xyz/videos/watch/86681bf6-a7df-4db1-8451-087ce12370ac?utm_source=blog&utm_medium=article&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05 - article non fourni
Blog,billetterie,blog,article,bonly25_replays,abdel_starks_bitcoin,b25-abdel-blog-billet,https://go.alpinechain.xyz/b25-abdel-blog-billet,https://join.alpinechain.xyz/org/bonly26/?utm_source=blog&utm_medium=article&utm_campaign=bonly25_replays&utm_content=abdel_starks_bitcoin,Actif et vérifié le 2026-08-05 - article non fourni
